,GSM8391918_H23-Ctrl.CEL.gz,GSM8391919_H23-KRAS-C12.CEL.gz,GSM8391920_H358-Ctrl.CEL.gz,GSM8391921_H358-KRAS-C12.CEL.gz,GSM8391922_H1792-Ctrl.CEL.gz,GSM8391923_H1792-KRAS-C12.CEL.gz,GSM8391924_H441-Ctrl.CEL.gz,GSM8391925_H441-KRAS-V12.CEL.gz,GSM8391926_H1299-Ctrl.CEL.gz,GSM8391927_H1299-KRAS-C12.CEL.gz,GSM8391928_H1299-KRAS-V12.CEL.gz,GSM8398301_HBEC3.CEL.gz,GSM8398302_HBEC3-K.CEL.gz,GSM8398303_HBEC3-p53.CEL.gz,GSM8398304_HBEC3-p53K.CEL.gz
X202426_s_at,6.810773269,6.499653185,8.014293819,8.10217273,7.499611703,7.349066936,7.017674332,7.430684646,6.544648253,6.57186137,6.862814854,7.696640923,7.980470167,7.854171939,7.912838496
X202427_s_at,10.79546175,10.92142121,11.2657357,11.13132399,11.19935136,11.58615029,11.42029344,11.70094546,11.38088135,11.26393739,10.95194244,11.15355691,10.73856338,11.23630354,10.77800431
X202428_x_at,12.83175557,12.72119937,12.75345003,12.9035735,12.62202155,12.76595359,12.65991669,12.84735857,12.94760605,12.88245997,12.94302827,12.5174143,11.92646036,12.75345003,12.39998734
X202429_s_at,9.469688944,9.561065288,10.94342235,10.92397868,10.93325558,10.5830053,11.23283365,11.52664285,10.2748946,10.06195782,10.18796209,11.52709338,11.38514766,11.38608583,11.34629337
X202430_s_at,8.124521238,7.666460561,9.520474911,9.346649665,9.216394758,8.810074657,10.89789171,10.87519394,9.574888936,9.538806749,9.297531777,7.39046653,7.706280401,7.723376602,6.707714492
X202431_s_at,9.520264166,9.581329688,8.772309046,8.902147485,11.84745084,11.57399763,10.16616786,10.07138948,9.383883254,9.332998352,8.109556483,9.331238214,8.711407943,9.56010177,9.019177488
X202432_at,10.78820036,10.50158189,9.354795903,9.383663007,9.778771551,9.973942212,10.23274124,9.871299425,10.2326857,10.18993605,10.09889658,10.69154755,10.81046637,11.05831282,11.02281796
X202433_at,11.15975756,11.26360855,11.07025696,10.82917492,11.17934502,11.24473105,10.53139306,10.70353156,11.34700191,11.31478807,11.09783707,10.90970456,11.33107331,11.00223611,11.0703961
X202434_s_at,4.956512048,5.213760431,5.064694274,5.112481787,5.134614971,5.167550328,5.156519432,4.970394614,5.134614971,5.530346949,5.252858293,5.385474469,5.423723778,5.320755516,5.38334029
X202435_s_at,8.297830733,7.792893863,7.550201629,7.257820813,6.725312539,6.653370038,6.725312539,7.787712978,5.956503041,5.826772634,6.099908031,6.525970695,6.490372358,6.508640273,5.734762924
X202436_s_at,10.46931972,10.68414835,10.08666062,10.04018552,9.320957212,8.805785984,8.782287156,10.39804435,7.474009889,7.298791172,6.851047705,7.357761873,5.336727674,6.589597706,5.758993021
X202437_s_at,11.67210563,11.77092827,11.23189185,11.2927667,10.35378661,9.848398803,10.1383466,11.40066445,9.165083277,8.94410384,9.46766094,8.274256267,4.976456114,7.04705791,6.08531262
X202438_x_at,6.188107433,6.119004527,6.99180032,7.370262426,6.4700721,6.711646171,7.6037085,7.67524342,6.10860516,6.102881509,6.755161346,5.859317996,6.020991884,5.997582122,6.031809507
X202439_s_at,8.668617061,8.828923063,9.619740285,10.18668489,8.843355267,8.676840444,9.986146366,9.998212172,7.467562638,7.519140043,7.529764859,8.169330911,8.083306171,7.971342404,8.043431273
X202440_s_at,8.175464972,8.296478114,8.761102142,8.668617061,9.61208834,9.765993413,10.22634407,10.72425123,8.384966835,8.533524162,8.521317784,10.16939065,9.29308501,10.22505386,9.314870506
X202441_at,10.19627442,10.25646315,10.38654286,10.25991204,10.57094048,10.63964625,10.93240263,10.91243395,10.38184601,10.37323867,10.29194971,10.85934353,11.09794575,10.75704712,10.88472677
X202442_at,11.8285901,11.93388225,13.18414571,12.59767959,13.0990507,12.87892571,11.85731699,12.0937572,12.66856851,12.56721774,12.61786318,12.59245473,12.46306431,12.58320994,12.52502609
X202443_x_at,12.11794083,12.13827116,11.14857247,11.46363747,11.82692611,11.75641591,11.89374309,11.81057811,11.12693696,11.1065641,11.10683124,11.55620697,12.10247611,11.42231593,12.02116148
